	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_0021	0	98	75	121	78	47	98	95	0	157	88	11	53	23	40	43	0	0	0	141	38	94	142	68	123	37	30	65	62	30	38	0	14	108	74	40	91	69	32	68	62	22	45	20	24	23	30	16	22	52	30	64	35	36	48	0	0	0	0	0	0	36	9	54	62	0	49	71	37	59	49	17	41	0	0	0	0	0	0	64	27	59	39	16	38	14	0	36	20	0	13	0	0	0	0	0
ASV_0022	0	67	72	122	70	54	111	84	122	103	39	0	63	22	0	49	13	0	0	113	38	87	86	69	86	39	0	38	55	19	33	0	0	96	48	32	42	29	0	44	37	0	26	0	0	0	0	0	0	124	68	89	81	58	79	0	0	72	41	22	37	37	0	43	47	0	29	34	0	41	0	0	0	0	0	0	0	0	0	79	38	88	59	26	60	129	54	34	105	29	111	0	0	0	0	0
ASV_0023	0	0	0	0	0	0	0	0	0	0	0	18	0	0	43	0	53	28	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	24	42	51	42	34	0	37	109	237	167	80	58	81	15	0	0	0	0	0	0	0	0	0	0	0	72	116	102	82	73	101	62	68	46	234	308	207	106	140	135	140	78	87	21	40	64	32	20	21	0	0	0	0	0	0	0	0	0	0	0
ASV_0024	0	27	18	61	28	0	43	26	71	41	0	0	8	0	0	0	0	0	0	79	22	36	76	21	62	196	78	171	257	42	100	0	13	102	44	16	38	24	16	34	11	0	25	0	0	0	0	0	0	50	27	40	32	23	45	0	27	97	79	50	104	41	0	57	32	0	41	60	54	66	9	0	10	0	0	0	0	0	0	118	28	133	62	23	102	109	45	0	58	14	77	0	0	0	0	0
ASV_0025	0	36	37	66	52	54	55	33	108	29	60	47	43	0	0	19	0	0	0	89	88	75	87	72	75	40	40	54	87	152	65	0	55	58	35	41	24	29	0	0	0	0	0	0	0	0	0	0	0	65	54	63	48	64	76	0	75	16	0	0	25	23	42	37	32	15	35	39	43	31	0	0	0	0	0	0	0	0	0	0	27	13	0	0	0	82	145	24	89	175	80	0	38	0	0	0
ASV_0026	0	0	0	8	9	30	27	12	0	49	0	0	0	0	0	0	0	0	0	10	25	0	9	0	0	57	65	54	57	144	31	0	19	0	0	6	0	14	0	0	0	0	0	0	10	0	4	0	0	7	23	0	11	35	14	0	0	0	0	23	4	0	66	5	0	21	0	14	31	26	15	24	0	204	75	134	604	320	202	0	27	0	16	0	0	0	41	230	0	66	33	0	281	0	0	0
ASV_0027	0	99	69	124	92	72	99	68	37	88	76	10	54	17	25	20	0	0	0	48	16	35	55	12	30	80	24	70	95	24	41	0	0	65	48	14	46	13	13	22	15	0	18	8	10	0	18	10	10	18	13	24	15	11	25	0	11	15	0	0	20	29	14	28	32	0	39	47	32	49	37	22	40	0	0	0	0	0	0	41	32	46	43	19	37	58	29	24	40	31	46	0	7	0	0	0
ASV_0028	0	26	14	40	34	21	31	43	0	48	44	14	41	38	49	56	29	0	27	54	14	14	39	0	31	0	0	7	6	0	0	15	0	39	37	19	51	60	35	63	64	37	58	49	64	50	70	44	71	26	21	27	36	9	41	0	0	8	0	0	4	36	16	45	47	11	48	21	23	33	57	29	29	28	22	0	0	11	20	40	19	54	39	19	37	5	0	16	7	3	0	0	0	0	0	0
ASV_0029	0	66	43	83	88	78	0	53	0	106	39	0	34	27	36	37	0	0	0	82	34	0	68	26	63	33	0	35	109	0	33	0	0	96	54	36	57	31	0	37	31	25	0	19	30	26	37	29	24	36	0	0	39	0	52	0	0	0	0	0	0	102	0	0	0	0	83	31	54	44	45	0	49	0	0	0	0	0	0	79	0	31	0	0	27	0	0	0	0	0	0	0	0	0	0	0
ASV_0030	0	33	0	36	27	0	20	27	94	32	12	0	9	0	0	0	0	0	0	35	13	28	32	9	36	36	13	72	54	23	22	0	0	76	41	25	29	22	17	23	23	0	15	8	10	7	11	0	0	43	20	22	31	23	34	0	0	0	0	0	0	52	14	65	49	8	54	79	40	141	16	9	18	6	0	0	0	0	0	50	23	46	29	14	43	120	69	0	118	25	114	0	0	0	0	0
